wikipedia|born|institution|field|almamater|doctoraladvisor|contributions|awards|website|nationality|education|fields|institutions|doctoralstudents|influenced|schoolortradition|influences|knownfor|occupation|academicbackground|academicwork|yearsactive|spouses|chinesename|traditionalchinese|simplifiedchinese|transcriptions|standardmandarin|hanyupinyin|citizenship|academicadvisors|politicalparty|employer|thesis|died|parents|children|doctoraladvisors|causeofdeath|restingplace|othernames|partners|notablework|agent|authorabbrevbotany|notablestudents|notableworks|title|discipline|subdiscipline|organization|relatives|majorcompetitions|notes|allegiance|servicebranch|serviceyears|rank|codename|othernotablestudents|height|boardmemberof|department|notablecredits|personal|religion|denomination|synagogue|yeshiva|semicha|koreanname|hangul|hanja|revisedromanization|mccunereischauer|maininterests|predecessor|successor|networth|criminalstatus|criminalcharge|penalty|timeatlarge|details|date|locations|targets|killed|weapons|dateapprehended|genres|instruments|honours|school|lineage|dharmanames|temple|seniorposting|teacher|periodinoffice|patrons|region|chinese|otheracademicadvisors|movement|youtubeinformation|channel|location|genre|subscribers|totalviews|yuecantonese|jyutping|labels|employers|basedin|alsoknownas|areas|pseudonyms|era|signature|residence|ringnames|billedheight|billedweight|billedfrom|trainedby|debut|status|nasaastronaut|timeinspace|selection|totalevas|totalevatime|missions|missioninsignia|notableideas|origin|associatedacts|criminalcharges|haircolor|eyecolor|cnsaastronaut|organisation|personalinformation|hometown|television
Claudia_Sahm|[]|||['Denison University', 'University of Michigan']||||[None]|['Americans']|||['Brookings Institution', 'Federal Reserve Board of Governors', 'Center for American Progress']|||||[]|||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Clemens_Fuest|['Münster', 'West Germany']|['Ifo Institut für Wirtschaftsforschung']|['Financial economics']|['University of Cologne']|||||['Germany']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Colin_Camerer|[]|['California Institute of Technology']|['Behavioral economics']|['University of Chicago', 'Johns Hopkins University']|||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cormac O_Grada|[]|||['University College Dublin', 'Columbia University', None]|||||[]||||||||['Great Famine (Ireland)']|['Economic historian']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Costas_Meghir||['Yale University', 'University College London']||['University of Manchester']|['Leonard Gill (page does not exist)', 'Ian Walker (economist) (page does not exist)']||||['Greece', 'United Kingdom']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Curtis_Carlson|['Providence, Rhode Island']|||['Worcester Polytechnic Institute', 'Rutgers University']|||['Robert H. Goddard', 'Otto H. Schade']||['People of the United States']|||['SRI International', 'Sarnoff Corporation']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dale T_Mortensen|['Enterprise, Oregon']|['Northwestern University']|['Labor economics']|['Carnegie Mellon University', 'Willamette University']|['Michael C. Lovell']||['IZA Prize in Labor Economics', 'Nobel Memorial Prize in Economic Sciences']||[]||||['Ronald G. Ehrenberg']|||||||||||||||||||||['Wilmette, Illinois']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Damon_Jones|[]|||['University of California, Berkeley', 'Stanford University']||||[None]||||['University of Chicago', 'Stanford Institute for Economic Policy Research']||||||||||['Eve Ewing']|||||||||||['Thesis', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dan_Liu|['Hong Kong']|||||||[None]||[]||||||||['Fashion designer', 'Television producer', 'Wardrobe Stylist']|||||||||||['Hong Kong', 'Canada']|||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[]|||||||||||||||||||||||||||||||||
Dana_Burde||||['Oberlin College', 'Harvard University', 'Columbia University']|||['Grawemeyer Award']||['United States']||['Political science']|['New York University']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dana_Goldman|[]|||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dani_Rodrik|['Istanbul']|['Institute for Advanced Study']|['International economics', 'Economic development', 'Political economy']|['Robert College', 'Princeton University', 'Doctor of Philosophy', 'Master of Public Administration', 'Harvard University', 'Bachelor of Arts']|['Avinash Dixit', None]||['Global Development And Environment Institute']||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Cohen|['Tunis', 'Tunisia']||||||||['France']|['École Normale Supérieure']||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Grossman|['San Francisco, California']||||||||[]||||||||['Dancer', 'Choreographer']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||['Modern dance']||||||||||||||||||||||||||||||||||||||||||
Daniel_Hamermesh|[]|['University of Texas at Austin', 'Royal Holloway University of London']|['Labor economics']|['Yale University', 'University of Chicago']|['Marc Nerlove']||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_McFadden|['Raleigh, North Carolina']|||['University of Minnesota']|['Doctoral advisor', 'Leonid Hurwicz']||['John Bates Clark Medal', 'Frisch Medal', 'Erwin Plein Nemmers Prize in Economics', 'Nobel Memorial Prize in Economic Sciences']||[]||['Econometrics']|['University of California, Berkeley', 'MIT', 'University of Southern California']|['Walter Erwin Diewert', 'Axel Börsch-Supan', 'Jonathan Feinstein', 'Donald J. Harris', 'Hidehiko Ichimura (page does not exist)', 'ja:市村英彦', 'John Rust', 'Hal Varian']||||['Discrete choice']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Nagin|[None]|||[]|||['Stockholm Prize in Criminology', 'American Society of Criminology', None]||||['Criminology', 'Statistics']|['Heinz College', 'Carnegie Mellon University']|||||||||||||||||||||['Thesis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Polsky||||||||||['University of Michigan', 'Gerald R. Ford School of Public Policy', 'University of Pennsylvania']||['Johns Hopkins University']|||||||[]|[]||[]|||||||||||['Thesis']||||||||||||||||||||||||||||||||||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Rondeau|['Le Mesnil-sur-Oger', 'France']||||||||['France']|['Panthéon-Assas University']|||||||['Académie Française']|[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Schwartz|['United States', None]|||||||||||||||||['Restaurant Brands International']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Siegel|[]|||['Harvard Medical School', 'UCLA']||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Sturm|[]|||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel_Trefler|['Toronto']|['Rotman School of Management', 'University of Toronto']|['International economics', 'Technology', 'Productivity', 'Competition (companies)']|['University of California, Los Angeles', 'Cambridge University', 'University of Toronto']|||['Izaak-Walton-Killam Award', 'Canada Research Chair', 'Harry Gordon Johnson', 'John Rae (economist)', 'Bertil Ohlin', 'Harold Innis']||['Canadians']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Danny_Quah|['Penang', 'Federation of Malaya']|['Lee Kuan Yew School of Public Policy']|['Macroeconomics', 'Development economics', 'International Relations']|['Princeton University', 'Harvard University']|||||['United Kingdom']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daphna_Joel|[]|||||||[None]|||['Behavioral neuroscience']|['Tel-Aviv University']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Darius_Lakdawalla|||||||||['United States']|||||||||[]||||['Emily Lakdawalla']||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daron_Acemoglu|['Istanbul']|['Massachusetts Institute of Technology', 'National Bureau of Economic Research', 'London School of Economics']|['Political economy', 'Economic growth', 'Labour economics']|['London School of Economics', 'University of York']|['Kevin W. S. Roberts']||['John Bates Clark Medal', 'John von Neumann Award', 'Erwin Plein Nemmers Prize in Economics', 'BBVA Foundation Frontiers of Knowledge Award']||||||['Robert Shimer', 'Mark Aguiar', 'Pol Antràs', 'Gabriel Carroll', 'Melissa Dell', 'Benjamin Jones (economist)']||['New institutional economics']|['Joel Mokyr', 'Kenneth Sokoloff', 'Douglass North', 'Seymour Martin Lipset', 'Barrington Moore']||||||['Asuman Özdağlar']|||||||['Turkey', 'United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Darrell_Duffie|[]|||['Stanford University']|['Doctoral advisor', 'David Luenberger']||||['Canada']||['Mathematical finance']|['Stanford Graduate School of Business']|['Monika Piazzesi', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dave_Donaldson|[]|['MIT', 'NBER']|['International trade', 'Economic Development', 'Economic History', 'Environmental Economics']|['London School of Economics']|['Tim Besley', 'Robin Burgess']||['John Bates Clark Medal', 'Fellow BREAD (page does not exist)']||['Canadians']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Aikman|['Edit this on Wikidata']|||['Worcester College, Oxford', 'University of Washington', 'Edit this on Wikidata']||||||||||||||['Journalist', 'Edit this on Wikidata']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Autor|[]|['Massachusetts Institute of Technology']||['Tufts University', 'Bachelor of Arts', 'Harvard University', 'Master of Arts', 'Doctor of Philosophy']|['Lawrence F. Katz', None]||['Heinz Awards', 'Econometric Society', 'American Academy of Arts and Sciences', 'Alfred P. Sloan Fellowship']|||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Backus|[]|['New York University Stern School of Business']|['Macroeconomics', 'Finance']|['Yale University', 'Hamilton College (New York)']|||||[]|||||||||||||||||||||||||['New York City', 'New York (state)']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Benson|['Oxford']|||||||[None]||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Bloom|['Edina, Minnesota']||||||||[]|||||||||[]|||[]|||||||||||||"[""Ba'athist Iraq""]"||||['Pulmonary embolism', 'Deep vein thrombosis']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Bradford|['Cambridge, Massachusetts']|['Princeton University']||['Stanford University', 'Harvard University', 'Amherst College']|['Kenneth Arrow']||||['United States']|||||||||||||||||||||||||['Philadelphia', 'Pennsylvania']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Byrne|['Dumbarton', 'West Dunbartonshire']|||||||[None]||||||||||[]|||[]|['Adelle Lutz']|||||||[]|||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||['Rock music', 'New wave music', 'Art pop', 'Worldbeat', 'Electronic music']|[]||||||||||||||||||||||['Luaka Bop', 'Nonesuch Records', 'Thrill Jockey', 'Sire Records', 'Warner Bros. Records']||||||||||||||||||||||||['Arbutus, Maryland']|['Talking Heads', 'Brian Eno', 'St. Vincent (musician)', 'Susana Baca']||||||||
David_Card|[]|['University of California, Berkeley']|['Labour economics']|"[""Queen's University at Kingston"", 'Princeton University']"|['Orley Ashenfelter', None]||['John Bates Clark Medal', 'Frisch Medal', 'BBVA Foundation Frontiers of Knowledge Award']||['Canada']||||['Thomas Lemieux', 'Phillip Levine', 'Christoph M. Schmidt', 'Michael Greenstone', 'Jesse Rothstein', 'Philip Oreopoulos', 'David Lee (economist) (page does not exist)', 'Alexandre Mas', 'Janet Currie', 'Lisa Barrow (page does not exist)', 'Enrico Moretti', 'Miguel Urquiola (page does not exist)', 'Nicole Maestas (page does not exist)', 'Fernando V. Ferreira (page does not exist)']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Cesarini||['New York University']|['Behavioral economics', 'Microeconomics']|['Massachusetts Institute of Technology', 'Ph.D.', None]|['David Laibson', None, 'Drazen Prelec', None]||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Cutler|['Cleveland', 'Ohio', 'United States']|||['Harvard College', 'Massachusetts Institute of Technology']|['James M. Poterba', None]||||||||['Heidi Williams', None]||||||||||||||||||['Democratic Party (United States)']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Deming||['Harvard University']|['Education economics']|['Ohio State University', 'University of California at Berkeley', 'Harvard University']|||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Dorn|[None]|||['University of St. Gallen']||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Figlio|[]|||['University of Wisconsin-Madison']|['Doctoral advisor', 'John Karl Scholz (page does not exist)']||||||['Economics', 'Education policy']|['Northwestern University']|||||||||||||||||||||['Thesis', None]|||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Grusky|[]|||['Reed College', 'University of Wisconsin–Madison']|['Doctoral advisor', 'Robert M. Hauser']||['Max Weber']||['United States']||['Sociology']|['Stanford University']|||||['Social inequality', 'Social mobility']||||||||||||||||['Thesis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Hirshleifer|['California']|['Paul Merage School of Business', 'UC Irvine']|['Financial economics', 'Behavioral economics']|['University of Chicago', 'University of California, Los Angeles']||[]|['Smith Breeden Award', 'Journal of Finance']||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Huffman|['Berwyn, Illinois']|||||||||||||||||[]|||[]|['Phyllis Huffman']||||||||||||['San Diego', 'California']||[]||['Homicide']|['Forest Lawn Memorial Park (Hollywood Hills)']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Kabiller|[]||||||||[]||||||||['AQR Capital']|[]|||||||||||||||||[]|[None]||||||||||||||||||||||||||||||||||||||||||[None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Kaiser||||||||[None]|[]|['Dartmouth College', 'Harvard University']||||||||['Massachusetts Institute of Technology']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Karp|['New York City', 'New York (state)', 'United States']|||||||[None]|||||||||['Tumblr']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[None, 'Wikipedia:Manual of Style/Dates and numbers']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Kunst|['Caledonia, Minnesota', 'United States']|||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Laibson|[]|['Harvard University']|['Macroeconomics', 'Behavioral economics']|['Harvard University', 'Bachelor of Arts', 'London School of Economics', 'Master of Science', 'Massachusetts Institute of Technology', 'Doctor of Philosophy']|['Olivier Jean Blanchard', None, 'Roland Bénabou', None]||||[]|||||||['Benjamin M. Friedman', 'Matthew Rabin']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Levine|['Brooklyn, New York']||||||||['United States']|['Pratt Institute', 'Temple University', 'Tyler School of Art', 'Hans Hofmann']|||||||['Illustration']|||||||||||||||||['New York City']||||||||['The New York Review of Books']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Lobell||||['Brown University', 'Stanford University']|||['MacArthur Fellowship']||||['Agricultural Science']||||||||||||||||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_McKenzie||||||||[None]||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Moreno|['Logroño', 'La Rioja (Spain)', 'Spain']|||||||[None]||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Neumark|[]|['University of California, Irvine']|['Labor economics']|['Harvard University', 'University of Pennsylvania']|||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Romer|[]|['University of California, Berkeley']|['Macroeconomics']|['Princeton University', 'Massachusetts Institute of Technology']|['Stanley Fischer', None]||||['United States']||||||['New Keynesian economics']|['John Maynard Keynes', 'Robert Solow', 'Kenneth Arrow']||||||['Christina Romer']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Scharfstein|[]|||['Princeton University', 'Massachusetts Institute of Technology']|['Oliver Hart (economist)', None, 'Eric Maskin', None]||||||||['Judith Chevalier', None]|||||[]||||||||||||||['Harvard Business School']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Thesmar|['France']|||||||[None]||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Wessel|[]||||||['Pulitzer Prize']|||||||||||['Business journalism']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Yermack||||['Harvard University', 'B.A.', 'Ph.D', 'Harvard Business School', 'Harvard Law School', 'Juris Doctor']|||[]|||||||||||[]||||[]||||||||||||||[]||||||||||||||['NYU Stern']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_Zilberman|['Jerusalem', 'Mandatory Palestine']|||['Tel Aviv University']||||[None]||||||||||['University of California, Berkeley']||||||||||||||||||||||||['Wolf Prize in Agriculture']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David_de la Croix|[]|['Université catholique de Louvain']|['Economic growth', 'Demographic economics']|[]|||['Francqui Foundation', 'European Research Council']||['Belgium']|||||||['Jacques Drèze', 'Franz Palm', 'Costas Azariadis', 'Philippe Michel (economist)', 'Oded Galor', 'Joel Mokyr']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dean_Karlan||['Northwestern University', 'Yale University', 'Princeton University']|||['Abhijit Banerjee', None, 'Esther Duflo', None]||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Deborah_Azrael||||||||||['Radcliffe College', 'Harvard University']|['Public health', 'Health policy']|['Harvard School of Public Health']|||||||||||||||||||||['Thesis', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Debraj Ray_|[]|['New York University']|['Development economics']|['University of Calcutta', 'B.A.', 'Cornell University', 'M.A.', 'Ph.D.']|||||[]||||||['Game theory']||||||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Debraj_Ray|[]|['New York University']|['Development economics']|['University of Calcutta', 'B.A.', 'Cornell University', 'M.A.', 'Ph.D.']|||||[]||||||['Game theory']||||||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Deen_Kemsley||||['University of North Carolina at Chapel Hill']|||['Columbia Business School']||['United States']||['Accounting', 'Taxation']|['Freeman School of Business']|||||[]||||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Devah_Pager|['Honolulu', 'Hawaii', None]|||['University of Wisconsin–Madison', 'Stanford University', 'University of Cape Town', 'University of California, Los Angeles']|['Doctoral advisor', 'Robert M. Hauser']||||[]||['Sociology', 'Criminology']|['Harvard University', 'Princeton University']|||||||||||||||||||||['Thesis', None]|['Cambridge, Massachusetts', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||['Erik Olin Wright']|||||||||||||||||||||||||||||||||||||||||||
Devavrat_Shah||||['Indian Institute of Technology Bombay', 'Stanford University']|['Doctoral advisor', 'Balaji Prabakhar (page does not exist)']||||||['Computer Science', 'Operations Research']|['MIT']|||||['Computer science', 'Operations Research']||||||||||||||||['Thesis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dhammika_Dharmapala|[None, 'Sri Lanka', None, None]||['Public economics']|['University of Western Australia', None, 'University of Berkeley', None]|['Alan J. Auerbach']|['Corporate tax', 'Tax havens', 'Corporate tax havens', 'Base erosion and profit shifting']||[None]||||['University of Chicago Law School', 'University of Illinois']|||||||||||||||||['U.S.', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Diane Whitmore_Schanzenbach|[]|['Northwestern University']|['Economic policy']|['Princeton University']||||||||||||||||||['Max Schanzenbach']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Diane_Schanzenbach|[]|['Northwestern University']|['Economic policy']|['Princeton University']||||||||||||||||||['Max Schanzenbach']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Didier_Sornette|['Paris']|||['École normale supérieure (Paris)', 'University of Nice']|||[]||['France']||['Physics', 'Geophysics', 'Complex systems', 'Economics', 'Finance']|['ETH Zurich', 'Swiss Finance Institute', 'UCLA', 'CNRS']|||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Diego_Comin||['Dartmouth College']|['Macroeconomics', 'Technology', 'Innovation Economics']|['Harvard University', 'Universitat Pompeu Fabra']||||[None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dimitris_Bertsimas|['Athens', 'Greece']|||['National Technical University of Athens', 'Athens', 'Greece', 'Massachusetts Institute of Technology']|['Doctoral advisor', 'Daniel Kleitman', None]||['United States National Academy of Engineering', 'Von Neumann Theory prize (page does not exist)', 'INFORMS President Award (page does not exist)', 'Erlang Prize (page does not exist)', 'Farkas Prize (page does not exist)', 'SIAM Optimization Prize (page does not exist)']||['Greece']||['Optimization (mathematics)']|['Massachusetts Institute of Technology']|"['Michel Goemans', 'Daisuke Nakazato (page does not exist)', 'Garrett van Ryzin (page does not exist)', 'Gina Mourtzinou (page does not exist)', 'Jose Nino-Mora (page does not exist)', 'Chung-Piaw Teo (page does not exist)', 'Yannis Paschalidis (page does not exist)', 'David Gamarnik (page does not exist)', 'Thalia Chryssikou (page does not exist)', 'Ioana Popescu (page does not exist)', 'Jay Sethuraman (page does not exist)', 'Dessi Pachamanova (page does not exist)', 'Sanne de Boer (page does not exist)', 'Adam Mersereau (page does not exist)', 'Karthik Natarajan (page does not exist)', 'Melvyn Sim (page does not exist)', 'Aurelie Thiele', 'David B. Brown (page does not exist)', 'Constantine Caramanis (page does not exist)', 'Michele Aghassi (page does not exist)', 'Margret Bjarnadottir (page does not exist)', 'Nikos Trichakis (page does not exist)', 'Dan Iancu (page does not exist)', 'Chaitanya Bandi (page does not exist)', ""Allison O' Hair (page does not exist)"", 'Nathan Kallus (page does not exist)', 'Vishal Gupta (page does not exist)', 'John Silberholz (page does not exist)', 'Nataly Youssef (page does not exist)', 'Velibor Misic (page does not exist)', 'Jack Dunn (computer scientist) (page does not exist)', 'Sebastien Martin (page does not exist)', 'Daisy Zhuo (page does not exist)']"||||['Optimization', 'Machine learning']||||||||||||['United States']||||['Thesis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Donald_Siegel|['Chicago']|||||||||||||||||[]||||['Viveca Lindfors', 'Doe Avedon']||||||||||||['Nipomo']||['Kristoffer Tabori']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Donna_Ginther||||['University of Wisconsin, Madison']|||[]|[None]|||[]|['University of Kansas', 'Federal Reserve Bank of Atlanta', 'Washington University', 'Southern Methodist University']||||||||||[]||||||||||||||[]|['Doctoral advisor', 'Charles Manski']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Douglas_Irwin||['Dartmouth College']|['International Economics']|['Columbia University']||||[None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Douglas_Staiger||['Dartmouth College']|['Healthcare economics', 'Education economics', 'Econometrics']|['Massachusetts Institute of Technology', 'Williams College']|||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
